2008-10-08 17:41:52,762 INFO program starts at: 17:41:52 10/08/08 Eastern Daylight Time
2008-10-08 17:41:52,762 INFO total symbols to be processed is: [510]
2008-10-08 17:48:14,874 INFO Analysis for 20081008
2008-10-08 17:48:14,874 INFO total symbols to be processed is: [510]
2008-10-08 17:48:16,124 ERROR abnormalVol wrong with DPS
2008-10-08 17:48:16,124 ERROR <type 'exceptions.ValueError'>
2008-10-08 17:48:16,124 ERROR need more than 2 values to unpack
2008-10-08 17:48:16,138 ERROR abnormalVol wrong with ^RUT
2008-10-08 17:48:16,138 ERROR <type 'exceptions.ZeroDivisionError'>
2008-10-08 17:48:16,138 ERROR float division
2008-10-08 17:48:16,138 INFO Abnormal Volume List [73]:
2008-10-08 17:48:16,154 INFO NRD List: ['ABC', 'ABI', 'ABT', 'AEE', 'AES', 'ALTR', 'AN', 'ANF', 'AXP', 'AZO', 'BBT', 'BCR', 'BF-B', 'BIIB', 'BJS', 'CA', 'CAG', 'CLX', 'COF', 'COL', 'CPWR', 'CSC', 'CTL', 'CTSH', 'D', 'DF', 'DHR', 'DIS', 'DPS', 'DRI', 'EIX', 'ESV', 'ETFC', 'EXPE', 'FISV', 'FLR', 'GAS', 'GENZ', 'GIS', 'HAL', 'HAR', 'HD', 'HON', 'HPC', 'HSY', 'IPG', 'ITW', 'JNY', 'JPM', 'KSS', 'LH', 'LLTC', 'MAR', 'MAT', 'MCD', 'MCO', 'MDT', 'MKC', 'MO', 'MRK', 'MRO', 'MSFT', 'MU', 'NI', 'NWL', 'NYX', 'PBG', 'PCG', 'PEG', 'PG', 'PGN', 'PH', 'PKI', 'PLD', 'PNC', 'PNW', 'PPL', 'PX', 'PXD', 'RRD', 'SEE', 'SGP', 'SNA', 'SO', 'STZ', 'SWN', 'SYK', 'TAP', 'TEL', 'TIF', 'TMO', 'TXT', 'TYC', 'UPS', 'UST', 'VAR', 'WAG', 'WAT', 'YHOO', '^GSPC', 'SPY']
2008-10-08 17:48:16,154 INFO TripleDown List: ['AA', 'ABI', 'AEP', 'AMD', 'AOC', 'AVP', 'BA', 'BEN', 'BRL', 'BSX', 'CAH', 'CCE', 'CEG', 'CI', 'CINF', 'CL', 'CMA', 'CMS', 'CNP', 'COF', 'COV', 'CPB', 'CPWR', 'CTAS', 'CVG', 'DF', 'DTE', 'DTV', 'EFX', 'EMN', 'EQ', 'ETR', 'EXC', 'F', 'FE', 'FHN', 'FPL', 'FTR', 'GIS', 'GLW', 'GM', 'GNW', 'HAL', 'HRB', 'HSP', 'HSY', 'IBM', 'IP', 'IPG', 'JNS', 'K', 'KFT', 'KG', 'KO', 'KR', 'L', 'LH', 'LLY', 'LNC', 'LUV', 'MAT', 'MDP', 'MDT', 'MHS', 'MIL', 'MOT', 'MU', 'MYL', 'NKE', 'NOC', 'NWL', 'NYX', 'PAYX', 'PBI', 'PEP', 'PFG', 'POM', 'PPL', 'PRU', 'PX', 'Q', 'RAI', 'RRD', 'RX', 'S', 'SBUX', 'SLM', 'SNI', 'SPLS', 'STI', 'STJ', 'SYMC', 'T', 'TMK', 'TXT', 'UIS', 'UNH', 'VFC', 'VZ', 'WIN', 'WMI', 'WPI', 'WYE', 'WYN', 'XL', 'XLNX', 'XRX', '^DJI', '^RUT']
2008-10-08 17:48:16,154 INFO TripleUp List: ['ICE', 'NYT']
2008-10-08 17:48:16,154 INFO Advance: 309, Decline: 189, Unch 2, Total: 500, Size: 510
2008-10-08 17:48:16,404 INFO new low List [222]: ['A', 'AA', 'ABC', 'ACAS', 'ADM', 'ADP', 'AEE', 'AEP', 'AET', 'AIV', 'AKS', 'ALL', 'AMD', 'AMP', 'ANF', 'APC', 'AVB', 'AVP', 'AXP', 'BA', 'BBY', 'BEN', 'BJS', 'BLL', 'BSX', 'BXP', 'CAG', 'CAH', 'CB', 'CBS', 'CCE', 'CCL', 'CHRW', 'CI', 'CL', 'CMS', 'CNP', 'COG', 'COH', 'COL', 'COST', 'CSC', 'CSCO', 'CTAS', 'CTSH', 'CVH', 'CVX', 'D', 'DDR', 'DELL', 'DHR', 'DIS', 'DOW', 'DPS', 'DTE', 'DUK', 'DVN', 'EFX', 'EIX', 'EMC', 'EMN', 'EQ', 'ERTS', 'ESV', 'ETR', 'EXC', 'EXPD', 'F', 'FDX', 'FE', 'FII', 'FISV', 'FPL', 'FTR', 'GLW', 'GM', 'GME', 'GNW', 'GOOG', 'GR', 'HAL', 'HAR', 'HD', 'HIG', 'HOG', 'HON', 'HRS', 'HSP', 'HST', 'IBM', 'IP', 'IPG', 'ITT', 'ITW', 'IVZ', 'JBL', 'JCP', 'JDSU', 'JNS', 'JWN', 'KG', 'KIM', 'KLAC', 'KO', 'KSS', 'L', 'LH', 'LLY', 'LM', 'LMT', 'LNC', 'LTD', 'LUK', 'M', 'MAR', 'MAT', 'MCHP', 'MCO', 'MDP', 'MDT', 'MET', 'MHS', 'MIL', 'MMM', 'MO', 'MOLX', 'MOT', 'MRK', 'MRO', 'MS', 'MSFT', 'MU', 'MWV', 'MYL', 'NBR', 'NE', 'NI', 'NOC', 'NSM', 'NWL', 'NWS-A', 'NYX', 'ODP', 'OMC', 'PAYX', 'PBG', 'PBI', 'PCAR', 'PCG', 'PCP', 'PEG', 'PFE', 'PFG', 'PH', 'PLD', 'PM', 'POM', 'PPL', 'PRU', 'PX', 'PXD', 'Q', 'RAI', 'RHI', 'ROK', 'RRD', 'RTN', 'RX', 'S', 'SBUX', 'SE', 'SLE', 'SLM', 'SNI', 'SPLS', 'STJ', 'STZ', 'SWN', 'SYK', 'SYMC', 'SYY', 'T', 'TAP', 'TE', 'TEL', 'TER', 'TEX', 'TIF', 'TMK', 'TMO', 'TRV', 'TSO', 'TSS', 'TXN', 'TXT', 'TYC', 'UIS', 'UNH', 'UTX', 'VFC', 'VIA-B', 'VLO', 'VZ', 'WAG', 'WIN', 'WMI', 'WPI', 'WPO', 'WYE', 'WYN', 'XL', 'XRX', 'YHOO', '^DJI', '^GSPC', '^IXIC', '^RUT', '^HSI', 'SPY', 'QQQQ', 'IWM', 'GA']
2008-10-08 17:48:16,404 INFO A: ('Technology', 'Electronic Instr. & Controls')
2008-10-08 17:48:16,404 INFO AA: ('Basic Materials', 'Metal Mining')
2008-10-08 17:48:16,404 INFO ABC: ('Healthcare', 'Biotechnology & Drugs')
2008-10-08 17:48:16,404 INFO ACAS: ('Financial', 'Misc. Financial Services')
2008-10-08 17:48:16,404 INFO ADM: ('Cons. Non-Cyclical', 'Food Processing')
