Symbol,Company,Country,GICS,Sector,Price
BTU            ,Peabody Energy,US                ,10        ,Energy,      49.48
JCP            ,Penney (J.C.),US                ,25        ,Consumer Discretionary,      41.97
POM            ,Pepco Holdings  Inc.,US                ,55        ,Utilities,      24.17
PBG            ,Pepsi Bottling Group,US                ,30        ,Consumer Staples,      32.10
PEP            ,PepsiCo Inc.,US                ,30        ,Consumer Staples,      71.83
PKI            ,PerkinElmer,US                ,35        ,Health Care,      26.06
PFE            ,Pfizer  Inc.,US                ,35        ,Health Care,      18.20
PCG            ,PG&E Corp.,US                ,55        ,Utilities,      41.45
PM             ,Philip Morris Intl.,US                ,30        ,Consumer Staples,      54.62
PNW            ,Pinnacle West Capital,US                ,55        ,Utilities,      35.28
PBI            ,Pitney-Bowes,US                ,20        ,Industrials,      35.83
PCL            ,Plum Creek Timber Co.,US                ,40        ,Financials,      48.43
PNC            ,PNC Financial Services,US                ,40        ,Financials,      70.86
RL             ,Polo Ralph Lauren Corp.,US                ,25        ,Consumer Discretionary,      73.65
PPG            ,PPG Industries,US                ,15        ,Materials,      64.88
PPL            ,PPL Corp.,US                ,55        ,Utilities,      38.21
PX             ,Praxair  Inc.,US                ,15        ,Materials,      82.98
PCP            ,Precision Castparts,US                ,20        ,Industrials,      98.76
PFG            ,Principal Financial Group,US                ,40        ,Financials,      46.13
PG             ,Procter & Gamble,US                ,30        ,Consumer Staples,      72.39
PGN            ,Progress Energy  Inc.,US                ,55        ,Utilities,      43.56
PGR            ,Progressive Corp.,US                ,40        ,Financials,      17.91
PLD            ,ProLogis,US                ,40        ,Financials,      42.77
PRU            ,Prudential Financial,US                ,40        ,Financials,      79.78
PEG            ,Public Serv. Enterprise Inc.,US                ,55        ,Utilities,      36.60
PSA            ,Public Storage,US                ,40        ,Financials,      86.24
PHM            ,Pulte Homes  Inc.,US                ,25        ,Consumer Discretionary,      15.50
QLGC           ,QLogic Corp.,US                ,45        ,Information Technology,      18.38
QCOM           ,QUALCOMM Inc.,US                ,45        ,Information Technology,      46.73
DGX            ,Quest Diagnostics,US                ,35        ,Health Care,      54.64
STR            ,Questar Corp.,US                ,55        ,Utilities,      44.89
Q              ,Qwest Communications Int,US                ,50        ,Telecommunications Services,       3.73
RSH            ,RadioShack Corp,US                ,25        ,Consumer Discretionary,      19.36
RRC            ,Range Resources Corp.,US                ,10        ,Energy,      41.47
RTN            ,Raytheon Co. (New),US                ,20        ,Industrials,      58.56
RF             ,Regions Financial Corp.,US                ,40        ,Financials,      11.24
RAI            ,Reynolds American Inc.,US                ,30        ,Consumer Staples,      51.41
RHI            ,Robert Half International,US                ,20        ,Industrials,      25.86
ROK            ,Rockwell Automation  Inc.,US                ,20        ,Industrials,      42.09
COL            ,Rockwell Collins,US                ,20        ,Industrials,      49.70
ROH            ,Rohm & Haas,US                ,15        ,Materials,      74.98
RDC            ,Rowan Cos.,US                ,10        ,Energy,      31.79
R              ,Ryder System,US                ,20        ,Industrials,      65.17
SAF            ,SAFECO Corp.,US                ,40        ,Financials,      67.84
SWY            ,Safeway Inc.,US                ,30        ,Consumer Staples,      26.03
SNDK           ,SanDisk Corporation,US                ,45        ,Information Technology,      15.68
SLE            ,Sara Lee Corp.,US                ,30        ,Consumer Staples,      13.69
SGP            ,Schering-Plough,US                ,35        ,Health Care,      18.58
SLB            ,Schlumberger Ltd.,US                ,10        ,Energy,      84.61
SNI            ,Scripps Network Interactive  Inc.,US                ,25        ,Consumer Discretionary,      39.70
SEE            ,Sealed Air Corp.(New),US                ,15        ,Materials,      24.83
SHLD           ,Sears Holdings Corporation,US                ,25        ,Consumer Discretionary,      96.41
